date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum
1,30.3,24.7,26.2,36.6,29.7,31.2,28.4,28.4,0
2,29.3,24.8,26.8,35.4,29.8,32.2,10.1,10.1,0
3,28.1,24.6,26.2,33.4,29.8,31.6,21.4,21.4,0
4,31,24.8,27,38.3,30.1,32.9,18.1,18.1,0
5,28.4,24.8,25.9,34.2,30.2,31.6,11.7,11.7,0
6,30.6,24.6,26.4,36.6,29.7,31.8,7.9,7.9,0
7,29.6,24.8,27.3,35.5,30.6,33,4.3,4.3,0
8,30.4,25.6,27.3,38.1,31.4,33.2,8.7,8.7,0
9,30.1,25,26.7,36.6,30.6,32.4,17.2,17.2,0
10,29.4,24.8,26.6,34.9,29.4,31.8,16.6,16.6,0
11,29.1,25,26.6,33.4,29.1,30.9,7.2,7.2,0
12,29.1,25.8,26.9,34.4,30.2,31.6,3.6,3.6,0
13,30.2,25.9,27.4,35.9,30.8,32.3,6.9,6.9,0
14,28.9,26.1,27.2,33.5,31,32.1,7.4,7.4,0
15,30.6,25.8,27.9,38.5,31.4,34,2.4,2.4,0
16,31.2,25.5,28.1,40,31.5,34.7,2,2,0
17,30.8,25.7,28.2,38.3,31.5,34.2,1.4,1.4,0
18,30.5,25.6,27.7,37.7,30.2,33,1.7,1.7,0
19,29.8,25.2,26.9,35.9,29.9,31.7,3,3,0
20,29.7,25,26.9,36.1,29.6,31.9,2.3,2.3,0
21,28.8,24.9,26.5,33.5,29.3,30.9,2.1,2.1,0
22,30.1,25.1,27.3,35.6,29.5,32.1,1.3,1.3,0
23,30.3,25.3,27.6,36.2,30,32.7,1.1,1.1,0
24,30.7,25.1,27.7,35.7,29.8,32.4,0,0,0
25,30.2,24.8,27.5,35.1,29.6,32.5,2.7,2.7,0
26,30.4,25.5,27.7,36.8,30.9,33.2,2.2,2.2,0
27,30.6,25.1,27.6,38,30.2,33.2,3,3,0
28,30.1,25.3,27.3,37,30.7,33,2.1,2.1,0
29,31.3,25.4,27.8,38.4,30.8,33.6,4.1,4.1,0
30,29.7,24.9,27,36.7,29.9,32.4,3.9,3.9,0
31,30.4,24.7,27,37.2,29.7,32.3,3.5,3.5,0
